date,action,price,shares,abs_score,ref_score,final_score,pnl,pnl_pct
2024-01-19 00:00:00-05:00,BUY,26.626907348632812,9805,74.0,60.0,68.4,,
2024-02-09 00:00:00-05:00,SELL_PROFIT,29.42434310913086,9805,78.0,60.0,70.8,27428.85763168335,0.10506048351280586
2024-02-12 00:00:00-05:00,BUY,29.077713012695312,9874,78.0,60.0,70.8,,
2024-02-20 00:00:00-05:00,SELL_STOP,27.378746032714844,9874,66.0,55.0,61.6,-16775.59996032715,-0.05842849398914904
2024-02-22 00:00:00-05:00,BUY,29.375518798828125,9232,74.0,60.0,68.4,,
2024-04-15 00:00:00-04:00,SELL_STOP,27.32564926147461,9232,50.0,55.0,52.0,-18924.395568847656,-0.06978156033231628
2024-05-07 00:00:00-04:00,BUY,28.69266700744629,8825,66.0,55.0,61.6,,
2024-05-21 00:00:00-04:00,SELL_PROFIT,31.637386322021484,8825,78.0,47.5,65.8,25987.1479511261,0.1026296828318882
2024-05-22 00:00:00-04:00,BUY,31.61778450012207,8789,78.0,47.5,65.8,,
2024-06-12 00:00:00-04:00,SELL_PROFIT,35.258270263671875,8789,74.0,47.5,63.4,31996.229375839233,0.11514044456643537
2024-06-13 00:00:00-04:00,BUY,35.82173156738281,8606,78.0,47.5,65.8,,
2024-07-05 00:00:00-04:00,SELL_PROFIT,40.14924621582031,8606,78.0,52.5,67.8,37242.591064453125,0.12080696435059782
2024-07-08 00:00:00-04:00,BUY,40.41483688354492,8503,78.0,52.5,67.8,,
2024-07-17 00:00:00-04:00,SELL_STOP,36.47024917602539,8503,62.0,55.0,59.199999999999996,-33540.829277038574,-0.09760246512650377
2024-07-22 00:00:00-04:00,BUY,36.47517395019531,8548,66.0,55.0,61.6,,
2024-07-24 00:00:00-04:00,SELL_STOP,32.191200256347656,8548,50.0,55.0,52.0,-36619.407135009766,-0.1174490271025758
2024-08-20 00:00:00-04:00,BUY,34.852081298828125,7948,74.0,50.0,64.4,,
2024-08-28 00:00:00-04:00,SELL_STOP,32.806007385253906,7948,62.0,55.0,59.199999999999996,-16262.19546508789,-0.058707366599739234
2024-08-30 00:00:00-04:00,BUY,33.74543380737305,7751,78.0,55.0,68.8,,
2024-09-03 00:00:00-04:00,SELL_STOP,30.666488647460938,7751,58.0,55.0,56.8,-23864.90393447876,-0.09124034906433445
2024-09-13 00:00:00-04:00,BUY,33.125709533691406,7212,66.0,55.0,61.6,,
2024-10-09 00:00:00-04:00,SELL_PROFIT,36.696258544921875,7212,74.0,55.0,66.4,25750.79946899414,0.10778785002624455
2024-10-10 00:00:00-04:00,BUY,36.567970275878906,7202,74.0,55.0,66.4,,
2024-10-31 00:00:00-04:00,SELL_STOP,34.268585205078125,7202,62.0,55.0,59.199999999999996,-16560.171279907227,-0.06287975661360427
2024-11-01 00:00:00-04:00,BUY,34.998863220214844,7075,66.0,55.0,61.6,,
2024-11-06 00:00:00-05:00,SELL_PROFIT,38.911746978759766,7075,74.0,55.0,66.4,27683.652591705322,0.11180031002506664
2024-11-07 00:00:00-05:00,BUY,40.73250198364258,6725,74.0,55.0,66.4,,
2024-11-15 00:00:00-05:00,SELL_STOP,36.646907806396484,6725,66.0,55.0,61.6,-27475.62084197998,-0.10030304985651982
2024-11-18 00:00:00-05:00,BUY,37.38705825805664,6629,74.0,55.0,66.4,,
2024-12-04 00:00:00-05:00,SELL_PROFIT,42.55817794799805,6629,74.0,55.0,66.4,34279.35242462158,0.1383130936445653
2024-12-05 00:00:00-05:00,BUY,42.207847595214844,6643,74.0,55.0,66.4,,
2024-12-19 00:00:00-05:00,SELL_STOP,39.933143615722656,6643,66.0,55.0,61.6,-15110.858535766602,-0.05389291586975104
2024-12-20 00:00:00-05:00,BUY,40.96934127807617,6493,66.0,55.0,61.6,,
