date,action,symbol,price,shares,position_size,commission,slippage,abs_score,ref_score,final_score,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2020-01-28 00:00:00-05:00,BUY_LONG,TQQQ,11.58452033996582,12415,0.95,143.82182002067566,143.82182002067566,74.0,57.0,67.2,16.280000686645508,,,,,,
2020-02-12 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,13.635660171508789,12415,,169.2867210292816,169.2867210292816,78.0,57.0,69.6,13.739999771118164,25464.901008605957,25126.327566547392,0.05789105281483955,0.17705867583197843,4.0,多單止盈: 17.7%
2020-02-13 00:00:00-05:00,BUY_LONG,TQQQ,13.583127975463867,12345,0.95,167.68371485710145,167.68371485710145,78.0,57.0,69.6,14.149999618530273,,,,,,
2020-02-21 00:00:00-05:00,SELL_LONG_TRAILING,TQQQ,12.910955429077148,12345,,159.3857447719574,159.3857447719574,74.0,51.0,64.8,17.079999923706055,-8297.970085144043,-8616.741574687958,-0.01581401335453995,-0.04948584358484364,5.0,多單回落: -2.8%
2020-02-24 00:00:00-05:00,BUY_LONG,TQQQ,11.423343658447266,7349,0.5,83.95015254592896,83.95015254592896,66.0,57.0,62.400000000000006,25.030000686645508,,,,,,
2020-02-25 00:00:00-05:00,SELL_LONG_STOP,TQQQ,10.499256134033203,7349,,77.15903332901001,77.15903332901001,50.0,57.0,52.8,27.850000381469727,-6791.119216918945,-6945.4372835769655,-0.0271918339749991,-0.08089466202224634,1.0,多單止損: -2.7%
2020-03-11 00:00:00-04:00,BUY_SHORT,SQQQ,12705.1982421875,3,0.25,38.1155947265625,38.1155947265625,26.0,57.0,38.4,53.900001525878906,,,,,,
2020-03-13 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,11619.6279296875,3,,34.8588837890625,34.8588837890625,26.0,57.0,38.4,57.83000183105469,3256.7109375,3186.993169921875,-0.014752834725330554,0.08544300465107056,2.0,空單反彈: +8.5%
2020-03-16 00:00:00-04:00,BUY_SHORT,SQQQ,15424.1484375,2,0.25,30.848296875,30.848296875,26.0,57.0,38.4,82.69000244140625,,,,,,
2020-03-17 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,12604.6845703125,2,,25.209369140625,25.209369140625,26.0,57.0,38.4,75.91000366210938,5638.927734375,5588.50899609375,0.07584154126805367,0.1827954313725788,1.0,空單止損: +7.6%
