Date,Close,High,Low,Open,Volume,Returns,Log_Returns,MA_50,MA_200,Vol_20,Regime,Cumulative,Peak,Drawdown,Month,Year,DayOfWeek,Quarter,Overnight_Return,Intraday_Return
2016-10-19,2.4954845905303955,2.505413614096233,2.4819811457509022,2.4899249100044822,47054400,0.0003979868593608771,0.0003979076835973442,2.472013568878174,2.0619295811653138,0.28820756573310213,Bull,12.110755370952814,12.542492034174087,-0.03442192046404612,10,2016,2,4,-0.0018307959697579923,0.0022328707599070796
2016-10-20,2.4849603176116943,2.5024354198969285,2.4428630875415953,2.4839679150566263,69950400,-0.004217326349614692,-0.0042262443526354596,2.473161315917969,2.0640841114521025,0.274342397815472,Bull,12.059680363213158,12.542492034174087,-0.03849407834148345,10,2016,3,4,-0.004615005645585479,0.0003995230973203867
2016-10-21,2.511967420578003,2.5177254925520685,2.4668907025039766,2.4903222694458784,58632000,0.010868223035555458,0.010809588353561071,2.4742217111587523,2.067350664138794,0.2707995058325897,Bull,12.190747659138067,12.542492034174087,-0.028044217534891357,10,2016,4,4,0.0021577615530445904,0.008691706851636116
2016-10-24,2.6035091876983643,2.608672544450907,2.5608163333772542,2.5628018202813063,68649600,0.03644225891245734,0.03579394358745935,2.4770216035842894,2.071294352412224,0.284256769416577,Bull,12.63500604166881,12.63500604166881,0.0,10,2016,0,4,0.020236886548316235,0.015883931053470857
2016-10-25,2.5774967670440674,2.6096658849047336,2.5673695784122508,2.6058923913397187,59712000,-0.009991292051975909,-0.010041539985090163,2.4786817026138306,2.0750285470485688,0.2706984827695359,Bull,12.508766006228017,12.63500604166881,-0.009991292051975869,10,2016,1,4,0.0009153813063595972,-0.010896698724022436
2016-10-26,2.5280520915985107,2.5687594670066556,2.504023991160813,2.527852792942602,95308800,-0.01918321531097822,-0.019369600682935802,2.4801392650604246,2.0782067328691483,0.279103040674316,Bull,12.2688076546559,12.63500604166881,-0.028982842256286147,10,2016,2,4,-0.01926053787388382,7.884108460154415e-05
2016-10-27,2.4927048683166504,2.5651850331962365,2.481386205566583,2.5590295004817367,103041600,-0.013981999579569582,-0.014080668541647133,2.4806595182418825,2.0821980804204943,0.2730745851664438,Bull,12.09726519118668,12.63500604166881,-0.04255960374761362,10,2016,3,4,0.012253469375165693,-0.025917884945289127
2016-10-28,2.4496142864227295,2.5087891588584004,2.4226085285716272,2.4690748759157257,142958400,-0.017286676189235517,-0.017437835335094312,2.480270309448242,2.085425909757614,0.26820334848463806,Bull,11.888143685051327,12.63500604166881,-0.05911056584812191,10,2016,4,4,-0.009479659104963511,-0.007881733228433885
2016-10-31,2.43571400642395,2.4734427945976805,2.4345225327341913,2.4734427945976805,56904000,-0.005674477029229963,-0.0056906380398611105,2.4796706199645997,2.089413285255432,0.26853136125329125,Bull,11.820684686790319,12.63500604166881,-0.06444962132926187,10,2016,0,4,0.009727453137019726,-0.01525355195443967
2016-11-01,2.385673761367798,2.451401627276876,2.319746596841344,2.451401627276876,101923200,-0.02054438449020546,-0.02075835603944284,2.4780224466323855,2.0931157064437866,0.2762249678067057,Bull,11.577835995647416,12.63500604166881,-0.08366992801863075,11,2016,1,4,0.006440666191330768,-0.026812361213160885
2016-11-02,2.323518991470337,2.393814357813524,2.307633733984411,2.377729801726483,81763200,-0.02605334011043703,-0.02639874081295776,2.474837293624878,2.0965818184614182,0.283229593979559,Bull,11.276194696709952,12.63500604166881,-0.10754338703738267,11,2016,2,4,-0.003329860004311902,-0.022799398912686897
2016-11-03,2.2566001415252686,2.3358312298914923,2.248061661259375,2.313987691668886,87014400,-0.028800646859667656,-0.029223524718792727,2.4712709093093874,2.0996835505962372,0.29549331609660423,Bull,10.951432995329151,12.63500604166881,-0.13324671478489417,11,2016,3,4,-0.004102096792167553,-0.024800283229781894
2016-11-04,2.2309844493865967,2.284996886619682,2.219665557971718,2.2357501189951217,84921600,-0.011351453749957607,-0.011416373255824864,2.46742253780365,2.101952269077301,0.29609474283288095,Bull,10.827118310186913,12.63500604166881,-0.1430856246146372,11,2016,4,4,-0.009239573350400487,-0.0021315752453887615
2016-11-07,2.390836238861084,2.398382317082187,2.3298742621847324,2.3390083665038017,100963200,0.07165078605475639,0.06920025030025148,2.466536898612976,2.1054203724861145,0.3981772061673017,Bull,11.60288984781965,12.63500604166881,-0.08168703603665543,11,2016,0,4,0.048419843153503894,0.022158053429604196
2016-11-08,2.437699556350708,2.4698686680592465,2.36700695733074,2.3828931235883664,110587200,0.019601224344812485,0.019411594328059282,2.4664534854888918,2.108880532383919,0.3798980575366671,Bull,11.83032069477491,12.63500604166881,-0.06368697761126026,11,2016,1,4,-0.0033223167457514524,0.022999954223632768
2016-11-09,2.4718542098999023,2.482776545977877,2.344568532657398,2.3513199148545256,183292800,0.01401101848675923,0.013913771467703704,2.4674940061569215,2.11316080391407,0.38331421136538535,Bull,11.996075536733692,12.63500604166881,-0.05056827854517821,11,2016,2,4,-0.035434900609940034,0.051262397040869656
2016-11-10,2.3542985916137695,2.5159379466576226,2.253223743963932,2.5018397855765753,247968000,-0.04755766655465221,-0.04872571612863642,2.4663105058670043,2.116534584760666,0.4177304010588053,Bull,11.42557017639329,12.63500604166881,-0.09572103577053609,11,2016,3,4,0.012130802681072028,-0.05897307845746136
2016-11-11,2.3523128032684326,2.3693895333153825,2.295519978247162,2.317959135586918,113563200,-0.0008434734457262172,-0.0008438293696086764,2.464872832298279,2.1193513625860216,0.41749995200398077,Bull,11.41593301134722,12.63500604166881,-0.09648377106439243,11,2016,4,4,-0.01543536412768387,0.01482065285539047
2016-11-14,2.2728826999664307,2.361844645250202,2.2470684168839936,2.356681515933223,177552000,-0.033766811621157466,-0.03435007806359506,2.4612786293029787,2.1217203521728516,0.43256926598993073,Bull,11.030453351873307,12.63500604166881,-0.12699263336351962,11,2016,0,4,0.001857198863484566,-0.035557972258974835
2016-11-15,2.3781278133392334,2.3997722827333092,2.323916990530411,2.330469984592541,105571200,0.04630468320004244,0.04526460735780498,2.458879861831665,2.1251864719390867,0.45630710293372573,Bull,11.541214999884646,12.63500604166881,-0.08656830382011414,11,2016,1,4,0.025336672511503178,0.02044987880632365
2016-11-16,2.416849374771118,2.4243954515884822,2.3421858010043692,2.3421858010043692,86337600,0.016282371878706625,0.016151235619737327,2.457164177894592,2.1289653450250627,0.46087442233390524,Bull,11.729133354444874,12.63500604166881,-0.07169546925711553,11,2016,2,4,-0.01511357469235286,0.031877733070848624
2016-11-17,2.4728472232818604,2.4728472232818604,2.4001691380050496,2.415260382277715,75537600,0.023169771809236295,0.02290542804824533,2.4574262952804564,2.133039098381996,0.46868670570091275,Bull,12.000894697787464,12.63500604166881,-0.05018686511032275,11,2016,3,4,-0.0006574644286857501,0.023842912104506953
2016-11-18,2.4450466632843018,2.493499404208246,2.4375014952872434,2.4774150749360397,63057600,-0.011242328169656535,-0.011306000809926732,2.4608616256713867,2.1378267270326616,0.4685609449521062,Bull,11.865976701265446,12.63500604166881,-0.0608649760726028,11,2016,4,4,0.001847203341627024,-0.013065397066163276
2016-11-21,2.5185203552246094,2.5262648232242606,2.4595436373434096,2.460536040047552,83625600,0.03005001624043202,0.029607360519302267,2.4634351539611816,2.1433212858438493,0.46230448549086983,Bull,12.22254949384706,12.63500604166881,-0.03264395335162601,11,2016,0,4,0.006335002515839294,0.023565724798705556
